Timestamp,Event,SeqNum,RetryCount
1780398143.802578,SEND,0,0
1780398143.8035882,ACK_RECEIVED,0,0
1780398143.8091712,SEND,1,0
1780398143.8144689,ACK_RECEIVED,1,0
1780398143.8144689,SEND,2,0
1780398143.8144689,ACK_RECEIVED,2,0
1780398143.8144689,SEND,3,0
1780398143.8144689,ACK_RECEIVED,3,0
1780398143.8144689,SEND,4,0
1780398143.815459,ACK_RECEIVED,4,0
1780398143.815459,SEND,5,0
1780398143.815459,ACK_RECEIVED,5,0
1780398143.815459,SEND,6,0
1780398143.815459,ACK_RECEIVED,6,0
1780398143.815459,SEND,7,0
1780398143.815459,ACK_RECEIVED,7,0
1780398143.815459,SEND,8,0
1780398143.8164723,ACK_RECEIVED,8,0
1780398143.8164723,SEND,9,0
1780398143.8164723,ACK_RECEIVED,9,0
1780398143.8164723,SEND,10,0
1780398143.8164723,ACK_RECEIVED,10,0
1780398143.8164723,SEND,11,0
1780398143.8174698,ACK_RECEIVED,11,0
1780398143.8174698,SEND,12,0
1780398143.8174698,ACK_RECEIVED,12,0
1780398143.8174698,SEND,13,0
1780398143.8174698,ACK_RECEIVED,13,0
1780398143.8174698,SEND,14,0
1780398143.8174698,ACK_RECEIVED,14,0
1780398143.8174698,SEND,15,0
1780398143.8184674,ACK_RECEIVED,15,0
1780398143.8184674,SEND,16,0
1780398143.8184674,ACK_RECEIVED,16,0
1780398143.8184674,SEND,17,0
1780398143.8184674,ACK_RECEIVED,17,0
1780398143.8184674,SEND,18,0
1780398143.8184674,ACK_RECEIVED,18,0
1780398143.8184674,SEND,19,0
1780398143.8184674,ACK_RECEIVED,19,0
1780398143.8184674,SEND,20,0
1780398143.8194656,ACK_RECEIVED,20,0
1780398143.8194656,SEND,21,0
1780398143.8194656,ACK_RECEIVED,21,0
1780398143.8194656,SEND,22,0
1780398143.8194656,ACK_RECEIVED,22,0
1780398143.8194656,SEND,23,0
1780398143.8194656,ACK_RECEIVED,23,0
1780398143.8194656,SEND,24,0
1780398143.8204632,ACK_RECEIVED,24,0
1780398143.8204632,SEND,25,0
1780398143.8204632,ACK_RECEIVED,25,0
1780398143.8204632,SEND,26,0
1780398143.8204632,ACK_RECEIVED,26,0
1780398143.8204632,SEND,27,0
1780398143.8204632,ACK_RECEIVED,27,0
1780398143.821466,SEND,28,0
1780398143.821466,ACK_RECEIVED,28,0
1780398143.821466,SEND,29,0
1780398143.821466,ACK_RECEIVED,29,0
1780398143.821466,SEND,30,0
1780398143.821466,ACK_RECEIVED,30,0
1780398143.821466,SEND,31,0
1780398143.821466,ACK_RECEIVED,31,0
1780398143.8224573,SEND,32,0
1780398143.8224573,ACK_RECEIVED,32,0
1780398143.8224573,SEND,33,0
1780398143.8224573,ACK_RECEIVED,33,0
1780398143.8224573,SEND,34,0
1780398143.8224573,ACK_RECEIVED,34,0
1780398143.8224573,SEND,35,0
1780398143.8224573,ACK_RECEIVED,35,0
1780398143.8224573,SEND,36,0
1780398143.8234537,ACK_RECEIVED,36,0
1780398143.8234537,SEND,37,0
1780398143.8234537,ACK_RECEIVED,37,0
1780398143.8234537,SEND,38,0
1780398143.8234537,ACK_RECEIVED,38,0
1780398143.8234537,SEND,39,0
1780398143.8234537,ACK_RECEIVED,39,0
1780398143.8234537,SEND,40,0
1780398143.8234537,ACK_RECEIVED,40,0
1780398143.8234537,SEND,41,0
1780398143.824529,ACK_RECEIVED,41,0
1780398143.824529,SEND,42,0
1780398143.824529,ACK_RECEIVED,42,0
1780398143.824529,SEND,43,0
1780398143.824529,ACK_RECEIVED,43,0
1780398143.824529,SEND,44,0
1780398143.824529,ACK_RECEIVED,44,0
1780398143.824529,SEND,45,0
1780398143.824529,ACK_RECEIVED,45,0
1780398143.824529,SEND,46,0
1780398143.8255267,ACK_RECEIVED,46,0
1780398143.8255267,SEND,47,0
1780398143.8255267,ACK_RECEIVED,47,0
1780398143.8255267,SEND,48,0
1780398143.8255267,ACK_RECEIVED,48,0
1780398143.8255267,SEND,49,0
1780398143.8255267,ACK_RECEIVED,49,0
1780398143.8255267,SEND,50,0
1780398143.8265252,ACK_RECEIVED,50,0
1780398143.8265252,SEND,51,0
1780398143.8265252,ACK_RECEIVED,51,0
